crypto,price_open,price_close,volume
BTC,664.7969970703125,654.468017578125,131449000
BTC,652.9229736328125,658.0780029296875,98511400
BTC,659.1710205078125,663.2550048828125,81673104
BTC,663.781005859375,660.7670288085938,50330200
BTC,661.9929809570312,679.458984375,74407904
BTC,679.8090209960938,673.1060180664062,69465000
BTC,672.7379760742188,672.864013671875,61203300
BTC,672.8060302734375,665.6849975585938,94636400
BTC,665.22802734375,665.0120239257812,60491800
BTC,664.9219970703125,650.6190185546875,134169000
BTC,650.7260131835938,655.5560302734375,69532200
BTC,655.4099731445312,661.2849731445312,118184000
BTC,661.2630004882812,654.0969848632812,78176496
BTC,654.2260131835938,651.7839965820312,225135008
BTC,651.6270141601562,654.3519897460938,147460992
BTC,654.4920043945312,655.0349731445312,86428400
BTC,655.1110229492188,656.9920043945312,60703500
BTC,657.0120239257812,655.0469970703125,38456100
BTC,655.0999755859375,624.6810302734375,110818000
BTC,624.6019897460938,606.27197265625,121887000
BTC,606.39697265625,547.4650268554688,330932992
BTC,548.656005859375,566.35498046875,207982000
BTC,566.3289794921875,578.2890014648438,125292000
BTC,578.281005859375,575.0430297851562,66127900
BTC,575.030029296875,587.7780151367188,80797296
BTC,587.77099609375,592.6900024414062,82398400
BTC,592.7360229492188,591.0540161132812,61194100
BTC,591.0380249023438,587.801025390625,92228096
BTC,587.6480102539062,592.10302734375,102905000
BTC,592.1240234375,589.1199951171875,74514400
BTC,588.7979736328125,587.5590209960938,69218000
BTC,587.3569946289062,585.5880126953125,43563000
BTC,585.5889892578125,570.4730224609375,60851100
BTC,570.4940185546875,567.239990234375,57262300
BTC,567.2429809570312,577.4390258789062,58405200
BTC,577.760986328125,573.2160034179688,54443000
BTC,573.7069702148438,574.3179931640625,59896600
BTC,574.3389892578125,575.6300048828125,50631600
BTC,576.083984375,581.697021484375,45301400
BTC,581.9390258789062,581.3079833984375,38299400
BTC,581.3109741210938,586.7529907226562,72844000
BTC,586.77099609375,583.4149780273438,85349200
BTC,583.4119873046875,580.1820068359375,56328200
BTC,580.1799926757812,577.760986328125,136130000
BTC,577.7529907226562,579.6510009765625,48856800
BTC,579.4520263671875,569.947021484375,59698300
BTC,569.8300170898438,573.9119873046875,86301600
BTC,574.0709838867188,574.1069946289062,110398000
BTC,574.114013671875,577.5029907226562,70342400
BTC,577.5910034179688,575.4719848632812,75840896
BTC,575.5460205078125,572.302978515625,76923400
BTC,572.4099731445312,575.5369873046875,79910800
BTC,575.5549926757812,598.2119750976562,159014000
BTC,598.5900268554688,608.6339721679688,97942896
BTC,608.989990234375,606.5900268554688,82446800
BTC,606.5059814453125,610.4359741210938,78529104
BTC,610.572998046875,614.5440063476562,75032400
BTC,614.635009765625,626.3159790039062,86713000
BTC,626.3519897460938,622.8610229492188,64550200
BTC,622.927001953125,623.5089721679688,45016800
BTC,623.4240112304688,606.718994140625,73610800
BTC,607.0050048828125,608.2429809570312,72812304
BTC,608.0250244140625,609.2410278320312,86920600
